Date,Open,High,Low,Close,Adj Close,Volume
2013-05-13,64.501427,65.414284,64.500000,64.962860,50.961628,79237200
2013-05-14,64.835716,65.028572,63.164288,63.408573,49.742329,111779500
2013-05-15,62.737144,63.000000,60.337143,61.264286,48.060188,185403400
2013-05-16,60.462856,62.549999,59.842857,62.082859,48.702328,150801000
2013-05-17,62.721428,62.869999,61.572857,61.894287,48.554409,106976100
2013-05-20,61.701427,63.685715,61.442856,63.275715,49.638096,112894600
2013-05-21,62.592857,63.639999,62.028572,62.808571,49.271629,114005500
2013-05-22,63.435715,64.050003,62.602856,63.049999,49.461025,110759600
2013-05-23,62.278572,63.737144,62.255714,63.162857,49.549564,88255300
2013-05-24,62.978573,63.665714,62.908573,63.592857,49.886887,69041700
2013-05-28,64.271431,64.444283,62.978573,63.062859,49.471127,96536300
2013-05-29,62.857143,63.928570,62.771427,63.564285,49.864471,82644100
2013-05-30,63.664288,64.928574,63.501427,64.511429,50.607475,88379900
2013-05-31,64.642860,65.300003,64.214287,64.247147,50.400158,96075700
2013-06-03,64.389999,64.622856,63.211430,64.388573,50.511097,93088100
2013-06-04,64.745712,64.918571,63.912857,64.187141,50.353092,73182200
2013-06-05,63.664288,64.388573,63.387142,63.587143,49.882401,72647400
2013-06-06,63.638573,63.857143,62.007141,62.637142,49.137157,104233500
2013-06-07,62.357143,63.320000,61.824287,63.115715,49.512577,101133900
2013-06-10,63.532856,64.154289,62.400002,62.698570,49.185345,112538300
2013-06-11,62.248573,63.251427,61.902859,62.514286,49.040783,71528100
2013-06-12,62.785713,63.035713,61.642857,61.741428,48.434486,66306800
2013-06-13,61.785713,62.448570,61.250000,62.279999,48.856991,71458100
2013-06-14,62.200001,62.327145,61.214287,61.435715,48.194675,67966500
2013-06-17,61.634285,62.242859,61.480000,61.714287,48.413200,64853600
2013-06-18,61.651428,62.128571,61.458572,61.681427,48.387424,48756400
2013-06-19,61.628571,61.665714,60.428570,60.428570,47.404587,77735000
2013-06-20,59.900002,60.854286,59.310001,59.548573,46.714264,89327700
2013-06-21,59.784286,60.000000,58.299999,59.071430,46.339951,120279600
2013-06-24,58.200001,58.380001,56.864285,57.505714,45.111698,120186500
2013-06-25,57.957142,58.255714,56.975716,57.518570,45.121765,78540700
2013-06-26,57.700001,57.827145,56.522858,56.867142,44.610741,91931000
2013-06-27,57.035713,57.341427,56.220001,56.254284,44.129971,84311500
2013-06-28,55.908573,57.181427,55.552856,56.647144,44.438164,144629100
2013-07-01,57.527142,58.895714,57.317142,58.459999,45.860298,97763400
2013-07-02,58.565716,60.232857,58.495716,59.784286,46.899162,117466300
2013-07-03,60.122856,60.425713,59.635715,60.114285,47.158039,60232200
2013-07-05,60.055714,60.470001,59.335712,59.631428,46.779251,68506200
2013-07-08,60.015713,60.142857,58.664288,59.292858,46.513660,74534600
2013-07-09,59.085712,60.500000,58.625713,60.335712,47.331741,88146100
2013-07-10,59.942856,60.685715,59.750000,60.104286,47.150196,70351400
2013-07-11,60.421429,61.178570,60.167141,61.041428,47.885357,81573100
2013-07-12,61.092857,61.398571,60.487144,60.930000,47.797943,69890800
2013-07-15,60.715714,61.637142,60.685715,61.062859,47.902172,60479300
2013-07-16,60.931427,61.529999,60.595715,61.457142,48.211479,54134500
2013-07-17,61.385715,61.745716,61.174286,61.472858,48.223812,49747600
2013-07-18,61.911430,62.124287,61.515713,61.680000,48.386299,54719700
2013-07-19,61.871429,61.997143,60.621429,60.707142,47.623127,67180400
2013-07-22,61.351429,61.392857,60.781429,60.901428,47.775539,51949100
2013-07-23,60.857143,60.994286,59.815716,59.855713,46.955208,92348900
2013-07-24,62.704285,63.512856,62.180000,62.930000,49.366905,147984200
2013-07-25,62.957142,63.057144,62.258572,62.642857,49.141640,57373400
2013-07-26,62.185715,63.005714,62.048573,62.998573,49.420692,50038100
2013-07-29,62.971428,64.284286,62.885715,63.970001,50.182755,62014400
2013-07-30,64.279999,65.307144,64.175713,64.760002,50.802479,77355600
2013-07-31,64.998573,65.334282,64.204285,64.647141,50.713947,80739400
2013-08-01,65.107140,65.257141,64.751427,65.239998,51.179020,51562700
2013-08-02,65.430000,66.121429,65.237144,66.077141,51.835732,68695900
2013-08-05,66.384285,67.238571,66.021431,67.064285,52.610134,79713900
